상품ID,카테고리,업체,상품명,"가격(원, VAT별도)"
48,아이폰 스냅,디어플티,"자꾸 꺼내보는 ‘우리, 결혼했어요!’ 부부 첫날 기록 (product - A)",200000
5,아이폰 스냅,온미,[Basic] 단 한 번 뿐인 따뜻한 아름다움을 담아드리는 𝐎𝐧𝐦𝐞𝐞 𝐒𝐧𝐚𝐩✨🤍🫧,240000
24,아이폰 스냅,달보드레스냅,친구의 시선으로 선물 하는 감성 한스푼 (아이폰 스냅),250000
11,아이폰 스냅,루스모먼트(LuzMoment),"[B type] 소중한 그 날, 빛나는 순간을 담아드립니다 ෆ",250000
6,아이폰 스냅,온미,[Plus] 단 한 번 뿐인 따뜻한 아름다움을 담아드리는 𝐎𝐧𝐦𝐞𝐞 𝐒𝐧𝐚𝐩✨🤍🫧,290000
36,아이폰 스냅,매리유,친구처럼 자연스러운 감성 매리유 아이폰스냅 + 영상,300000
33,아이폰 스냅,디어플티,[가봉스냅] 처음 드레스를 입는 ‘날’ 기록해요,300000
21,아이폰 스냅,디어플티,"자꾸 꺼내보는 ‘우리, 결혼했어요 !’ 부부 첫날 기록 (product -B)",320000
4,아이폰 스냅,온미,[Premium] 단 한 번 뿐인 따뜻한 아름다움을 담아드리는 𝐎𝐧𝐦𝐞𝐞 𝐒𝐧𝐚𝐩✨🤍🫧,370000
52,야외 스냅,빌라드블랑스냅,데이타형-데이트스냅,250000
51,야외 스냅,빌라드블랑스냅,데이타형(한복스냅),250000
26,야외 스냅,달보드레스냅,행복한 순간을 모두 담아 드려요 (야외 데이트 스냅 상품),400000
47,야외 스냅,빌리에또,추억의 장소에서 더 특별하게(데이트스냅),400000
18,야외 스냅,프리즘홀,섬세한 감성으로 두분의 소중한 시작을 대표작가가 함께합니다!,650000
42,야외 스냅,강산픽,자연에서 자연스러운 순간을 기록합니다 (야외&하우스웨딩 전문 강산픽),700000
43,야외 스냅,강산픽,자연에서 자연스러운 순간을 기록합니다 (야외&하우스웨딩 전문 강산픽),1000000
75,영상,달보드레,새로운 상품,
82,영상,J2Pictures,새로운 상품,
83,영상,J2Pictures,새로운 상품,
81,영상,J2Pictures,새로운 상품,
87,영상,jcjgraphy,새로운 상품,
80,영상,J2Pictures,새로운 상품,
59,영상,J2Pictures,본식영상(1인1캠),300000
60,영상,J2Pictures,본식영상(1인2캠),400000
77,영상,메리유,4K 리허설 스튜디오 DVD 1인 2캠,450000
79,영상,메리유,4K 본식DVD 1인 2캠,540000
63,영상,Ji Joe Visuals,1인2캠 LITE,570000
68,영상,달보드레,영상 드라마형 1인 2캠,590000
28,영상,달보드레,유행타지 않는 스타일로 남겨보는 나의 결혼식 (본식 DVD 드라마형),590000
78,영상,메리유,4K 본식DVD 1인3캠,650000
76,영상,메리유,4K 궁중혼례 전통혼례 DVD 1인 2캠,680000
69,영상,달보드레,영상 하이라이트형 1인2캠,700000
65,영상,jcjgraphy,디럭스본식DVD ( 2인2캠 ),708000
62,영상,Ji Joe Visuals,1인3캠 4K DELUXE,750000
61,영상,J2Pictures,본식영상(2인4캠),800000
64,영상,Ji Joe Visuals,1인3캠 4K Signature,850000
66,영상,jcjgraphy,프리미엄본식DVD (2인3캠),955000
57,영상,애프터스튜디오,본식Collection1,1540000
58,영상,애프터스튜디오,본식Collection2,2200000
